account,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,default_profile,default_profile_image,bot,account_age_seconds,diversity,mean_tweet_length
mattlieberisbot,1009,0,17,0,False,1164,True,False,1,105513600.0,0.49,35.9
sc_papers,176,0,14,0,False,2097,True,True,1,128664118.0,0.29,140.69
lucarivera16,10,0,1,190,False,220,False,False,1,133424925.0,0.31,129.09
dantheimprover,23,304,0,5,False,66,True,False,1,64113596.0,0.36,75.12
_all_of_us_,161,0,19,0,False,6068,False,False,1,154061042.0,0.52,33.59
KatamariItems,10091,2,110,14,False,3123,True,False,1,118897557.0,0.67,38.13
AutophagyPapers,702,0,28,25,False,15467,False,False,1,131351911.0,0.29,141.26
HSC_papers,178,3,10,0,False,5282,True,False,1,117280183.0,0.28,143.32
everycheese,44,1,13,0,False,111,False,False,1,146033423.0,0.54,55.34
gyr_papers,14,0,4,0,False,429,True,True,1,142183616.0,0.3,126.53
AjstyleAlen,3,224,0,0,False,1,True,True,1,197416485.0,1.0,8.0
hard_to_yelp,108,0,17,0,False,23408,True,False,1,129138635.0,0.39,53.32
fuckeverywordza,276,0,24,0,False,31721,True,False,1,150731586.0,0.84,13.32
ecin_gnihtaseod,142,0,20,0,False,21506,True,True,1,141509849.0,0.53,33.42
tofu_product,8479,10456,186,331,False,66003,True,False,1,173072317.0,0.43,64.75
onetruewiseman,19,4,10,4,False,6230,False,False,1,154418944.0,0.35,94.77
everycolorbot,173731,0,1472,2,False,47896,True,False,1,173332292.0,0.74,32.0
himawari8bot,4838,3,234,9,False,11043,False,False,1,107572041.0,0.41,101.46
emoji__polls,469,2,23,5,False,27371,False,False,1,117009824.0,0.71,7.0
everytrolltroll,28,1,12,0,False,145,True,False,1,151285226.0,0.37,68.82
hyphizer,168,2,22,0,False,5684,False,False,1,152625639.0,0.88,9.35
GreenwadeGema,0,0,1,57,False,100,True,False,1,67169191.0,0.33,115.42
par_papers,1104,0,43,0,False,26945,False,False,1,138696363.0,0.29,131.53
everyMTGlegend,37,43,6,0,False,189,False,False,1,143847249.0,0.4,81.89
assembly_papers,344,0,35,22,False,30262,True,False,1,160056279.0,0.31,117.55
DeepDreamThis,1103,2,92,0,False,24199,True,False,1,117013975.0,0.58,50.77
baron777111,0,25,0,11,False,3,True,True,1,100635354.0,0.52,45.33
BestOpinionPoll,68,0,8,2,False,4049,True,False,1,99616854.0,0.36,95.37
dstroyeveryword,3636,2,82,557,False,111366,False,False,1,151291258.0,0.79,15.24
snowcloneminute,145,2,77,64,False,925393,True,False,1,173727103.0,0.49,37.22
BklynMuseumBot,1455,1,86,0,False,6394,False,False,1,144968701.0,0.45,87.83
clitoscope,184,15,18,38,False,2704,False,False,1,80620394.0,0.58,43.02
feud_exe,228,1,31,1,False,13057,False,False,1,96409787.0,0.35,93.44
vaporfave,846,104,81,7,False,24732,False,False,1,141600323.0,0.75,26.52
UcOVJ4xlZaGwtKm,62,1071,0,2,False,2,True,False,1,104327973.0,0.77,25.5
moonmurmur,824,0,42,0,False,12674,False,False,1,142373414.0,0.45,38.63
AttentiveBot,369,656,20,63,False,26073,False,False,1,154326464.0,0.68,36.05
vocalsvt,278,0,1,10,False,324,False,False,1,98076643.0,0.25,121.17
CrisprPhages,121,1,7,0,False,1188,True,True,1,143831715.0,0.32,119.93
forestgen,32,1,10,0,False,870,False,False,1,64569422.0,0.29,91.56
phy_papers,2307,1,54,0,False,21030,False,False,1,160270509.0,0.27,138.97
rnomics,2326,139,260,188,False,164416,False,False,1,271918818.0,0.3,171.56
woloshinj_buzz,1,60,0,0,False,1,True,True,1,64146157.0,0.34,53.0
DiGRAThemes,81,48,10,0,False,16728,False,False,1,163750129.0,0.42,46.09
shantae_stubby,0,23,0,47,False,72,True,False,1,65918748.0,0.29,126.38
super_jeopardy,100,1,12,0,False,4438,False,False,1,128093583.0,0.31,90.78
Speed_1994,418,6,18,2,False,29372,False,False,1,158283596.0,0.67,24.61
TheUniverse,8077,642,233,6873,True,4428,False,False,1,364276910.0,0.36,116.46
everywordNYT,70,0,14,1,False,53826,True,False,1,151393179.0,0.45,72.96
Exoriders,103,1,21,0,False,19770,True,False,1,172361863.0,0.34,117.47
onlymanthings,110,0,23,0,False,5614,True,False,1,154208901.0,0.5,45.66
Lake5Media,19,22,0,0,False,22,False,False,1,247661498.0,0.29,120.77
crystalliser,25,0,9,0,False,63,False,False,1,116144851.0,0.68,35.89
SeethingVortex,188,253,53,244868,False,36316,False,False,1,234606289.0,0.38,96.64
Horse_ebooks,158190,14259,1712,1,False,18824,True,False,1,272570157.0,0.47,52.54
FMKVote,627,1,30,0,False,2576,True,False,1,163125598.0,0.32,90.42
biorxiv_evobio,1197,0,25,0,False,2625,True,False,1,86337046.0,0.27,136.75
BoazimBot,149,0,46,0,False,46810,True,False,1,173903761.0,0.51,29.74
ClipArtBot,1344,1,129,0,False,67208,True,False,1,142904580.0,0.41,98.03
libraryofvivec,28,0,8,0,False,6014,False,False,1,74275831.0,0.21,127.45
ItMeIRL,1680,0,5,0,False,13403,False,False,1,23788885.0,0.55,54.0
Rober4628,6,355,0,5,False,8,True,False,1,78985150.0,0.45,74.0
aura_mazon,0,0,0,60,False,74,True,False,1,67896922.0,0.3,121.84
tiny_star_field,132512,4864,1913,364,False,13824,False,False,1,148924416.0,0.1,100.41
pentametron,25953,2,699,126,False,52871,True,False,1,222563025.0,0.46,60.44
ArkhamSingles,37,1,14,5,False,27389,True,False,1,160313007.0,0.21,111.84
NYC_Newswire,12,73,1,0,False,7,True,False,1,71398467.0,0.27,158.29
literaldevices,75,2,23,1,False,4898,True,False,1,142594166.0,0.33,75.53
emojicheer,67,1,13,1,False,644,True,False,1,150040831.0,0.29,67.66
EuphemismBot,117,2,30,0,False,6685,True,False,1,159957640.0,0.41,56.03
NK_papers,428,3,17,5,False,15301,False,False,1,159766825.0,0.23,205.62
oliviataters,6582,5181,296,88898,False,58407,True,False,1,168063857.0,0.27,118.33
QuantomBot,3083,0,4553,1922,False,293561,False,False,1,81610131.0,0.3,131.6
