account,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,default_profile,default_profile_image,has_extended_profile,bot
"""HoustonPokeMap""",1291,0,10,"""Mon Jan 02 02:25:26 +0000 2017""",0,FALSE,78554,"""en""",TRUE,FALSE,FALSE,1
kernyeahx,1,349,0,2/1/2016 7:37,38,FALSE,31,en,TRUE,FALSE,FALSE,1
mattlieberisbot,1086,0,14,Fri Nov 20 18:53:22 +0000 2015,0,FALSE,713,en,TRUE,FALSE,FALSE,1
sc_papers,33,0,8,2/25/2015 20:11,0,FALSE,676,en,TRUE,TRUE,FALSE,1
lucarivera16,11,745,0,1/1/2015 17:44,146,FALSE,185,en,FALSE,FALSE,FALSE,1
dantheimprover,1,186,0,13/03/2017 22:53,0,FALSE,11,en,TRUE,FALSE,TRUE,1
_all_of_us_,193,0,19,Wed May 07 22:29:25 +0000 2014,0,FALSE,6068,en,FALSE,FALSE,FALSE,1
KatamariItems,8227,2,89,Thu Jun 18 22:07:31 +0000 2015,26,FALSE,2597,en,TRUE,FALSE,FALSE,1
AutophagyPapers,275,0,17,1/25/2015 17:34,23,FALSE,9922,en,FALSE,FALSE,FALSE,1
HSC_papers,51,3,9,7/7/2015 15:23,0,FALSE,2515,en,TRUE,FALSE,FALSE,1
everycheese,51,1,12,Fri Aug 08 20:23:08 +0000 2014,0,FALSE,111,en,FALSE,FALSE,FALSE,1
gyr_papers,2,1,4,9/22/2014 9:46,0,FALSE,230,en,TRUE,TRUE,FALSE,1
lavon_court,0,29,0,Sun Mar 12 01:07:25 +0000 2017,0,FALSE,0,en,TRUE,TRUE,,1
AjstyleAlen,1,206,0,Sat Dec 22 02:18:49 +0000 2012,0,FALSE,0,en,TRUE,TRUE,,1
Rupesh93505,0,38,0,Sun Mar 12 01:06:00 +0000 2017,0,FALSE,0,en,TRUE,TRUE,,1
hard_to_yelp,109,0,16,Fri Feb 20 08:23:00 +0000 2015,0,FALSE,16067,en,TRUE,FALSE,FALSE,1
fuckeverywordza,250,0,25,Sun Jun 15 11:20:31 +0000 2014,0,FALSE,31721,en,TRUE,FALSE,FALSE,1
yeahTonyaGonzal,15,1941,1,1/1/2015 11:47,319,FALSE,406,en,FALSE,FALSE,FALSE,1
BbbbggU,190,1899,0,3/7/2017 22:08,27,FALSE,0,th,TRUE,TRUE,FALSE,1
ecin_gnihtaseod,181,0,24,Tue Sep 30 04:56:09 +0000 2014,0,FALSE,21506,en,TRUE,TRUE,FALSE,1
tofu_product,10175,11465,199,Sun Sep 29 21:35:03 +0000 2013,328,FALSE,65022,en,TRUE,FALSE,FALSE,1
onetruewiseman,23,4,8,Sat May 03 19:04:37 +0000 2014,4,FALSE,6230,en,FALSE,FALSE,FALSE,1
everycolorbot,106126,0,999,Thu Sep 26 21:22:10 +0000 2013,2,FALSE,30156,en,TRUE,FALSE,FALSE,1
himawari8bot,2302,3,161,Tue Oct 27 23:06:22 +0000 2015,4,FALSE,7640,en,FALSE,FALSE,FALSE,1
emoji__polls,443,2,17,7/10/2015 18:30,6,FALSE,9584,en,FALSE,FALSE,FALSE,1
everytrolltroll,27,1,10,Mon Jun 09 01:33:19 +0000 2014,0,FALSE,145,en,TRUE,FALSE,FALSE,1
hyphizer,191,2,19,Sat May 24 13:13:08 +0000 2014,0,FALSE,5684,en,FALSE,FALSE,FALSE,1
GreenwadeGema,1,35,1,Mon Feb 06 14:07:17 +0000 2017,54,FALSE,82,en,TRUE,FALSE,FALSE,1
par_papers,651,0,36,11/1/2014 17:27,0,FALSE,19867,en,FALSE,FALSE,FALSE,1
everyMTGlegend,37,45,7,Wed Sep 03 03:39:41 +0000 2014,0,FALSE,191,en,FALSE,FALSE,FALSE,1
assembly_papers,331,56,36,2/27/2014 12:09,23,FALSE,29989,en,TRUE,FALSE,FALSE,1
DeepDreamThis,1327,2,92,Fri Jul 10 17:20:58 +0000 2015,0,FALSE,24199,en,TRUE,FALSE,FALSE,1
baron777111,0,52,0,Sat Jan 16 05:57:59 +0000 2016,0,FALSE,0,en,TRUE,TRUE,,1
BestOpinionPoll,54,0,5,1/28/2016 0:53,2,FALSE,1585,en,TRUE,FALSE,FALSE,1
dstroyeveryword,4247,2,72,Sun Jun 08 23:52:57 +0000 2014,587,FALSE,109325,en,FALSE,FALSE,FALSE,1
"""917_7513""",0,54,0,"""Thu Aug 04 11:42:20 +0000 2016""",7,FALSE,18,"""en""",TRUE,TRUE,FALSE,1
snowcloneminute,163,2,74,Sun Sep 22 07:42:14 +0000 2013,64,FALSE,552492,en,TRUE,FALSE,FALSE,1
NESGarbageBot,32,1,12,Sun May 11 03:58:12 +0000 2014,0,FALSE,6181,en,TRUE,FALSE,FALSE,1
BklynMuseumBot,903,1,50,8/21/2014 4:08,0,FALSE,3654,en,FALSE,FALSE,FALSE,1
clitoscope,108,10,9,9/3/2016 22:40,10,FALSE,537,en,FALSE,FALSE,FALSE,1
feud_exe,190,1,23,Sat Mar 05 03:44:14 +0000 2016,1,FALSE,4032,en,FALSE,FALSE,FALSE,1
vaporfave,675,118,66,Mon Sep 29 03:48:39 +0000 2014,8,FALSE,15437,en,FALSE,FALSE,FALSE,1
peabero89,1,340,0,1/28/2016 10:23,33,FALSE,49,en,TRUE,FALSE,FALSE,1
UcOVJ4xlZaGwtKm,89,1225,0,4/12/2015 12:14,2,FALSE,2,en,TRUE,FALSE,FALSE,1
moonmurmur,1076,0,40,Sat Sep 20 05:03:51 +0000 2014,0,FALSE,12674,en,FALSE,FALSE,FALSE,1
AttentiveBot,399,679,20,Sun May 04 20:46:22 +0000 2014,64,FALSE,26073,en,FALSE,FALSE,FALSE,1
vocalsvt,394,3537,0,Sun Feb 14 20:43:25 +0000 2016,46,FALSE,349,en,FALSE,FALSE,FALSE,1
249_4665,4,96,0,Wed Mar 08 15:26:07 +0000 2017,3,FALSE,0,ar,TRUE,TRUE,FALSE,1
"""Ttimmson74""",0,140,0,"""Mon Oct 11 05:12:52 +0000 2010""",2,FALSE,12,"""en""",TRUE,TRUE,TRUE,1
"""LondonPogoMap""",1334,0,13,"""Mon Jan 16 09:47:28 +0000 2017""",7,FALSE,59023,"""en""",TRUE,FALSE,FALSE,1
CrisprPhages,36,1,6,9/3/2014 7:58,0,FALSE,510,en,TRUE,TRUE,FALSE,1
forestgen,8,1,1,3/8/2017 16:17,0,FALSE,29,en,FALSE,FALSE,FALSE,1
phy_papers,1451,1,44,2/25/2014 0:39,0,FALSE,15020,en,FALSE,FALSE,FALSE,1
rnomics,1807,101,258,8/12/2010 20:13,124,FALSE,125403,en,FALSE,FALSE,FALSE,1
woloshinj_buzz,1,63,0,3/13/2017 13:51,0,FALSE,1,en,TRUE,TRUE,FALSE,1
DiGRAThemes,82,49,10,Wed Jan 15 18:05:26 +0000 2014,0,FALSE,16728,en,FALSE,FALSE,FALSE,1
Twisted_Maglion,2,20,0,Sun Oct 02 05:14:11 +0000 2016,66,FALSE,127,en,TRUE,FALSE,FALSE,1
shantae_stubby,0,25,0,Tue Feb 21 01:28:29 +0000 2017,56,FALSE,73,en,TRUE,FALSE,FALSE,1
super_jeopardy,78,1,14,Wed Mar 04 10:41:15 +0000 2015,0,FALSE,4438,en,FALSE,FALSE,FALSE,1
Speed_1994,403,6,16,Thu Mar 20 00:34:23 +0000 2014,1,FALSE,12395,en,FALSE,FALSE,FALSE,1
TheUniverse,7324,456,202,9/8/2007 21:12,5109,TRUE,3334,en,FALSE,FALSE,FALSE,1
everywordNYT,68,0,15,Sat Jun 07 19:34:43 +0000 2014,1,FALSE,25193,en,TRUE,FALSE,FALSE,1
